movie_odid,display_name,rental_revenue,vod_revenue,rental_and_vod_revenue,streaming_revenue,est_revenue
13650100,Windtalkers,,,,,
13680100,House on Haunted Hill,,,,,
13690100,About a Boy,,,,,
13720100,Max Payne,,,,,
13760100,The Dark Crystal,,,,,
13770100,Duplicity,,,0,,193674
13800100,Stranger Than Fiction,,,,,
13820100,The Water Horse: Legend of the Deep,,,,,
13880100,Hardball,,,,,
13890100,There Will Be Blood,,10645,,,
13910100,Catwoman,,,,,
13960100,The Wild Thornberrys Movie,,,,,
13980100,Righteous Kill,,,,,
14040100,I Still Know What You Did Last Summer,,,,,
14070100,The Illusionist,,,,,
14090100,I Can Do Bad All By Myself,,,17205175,,2051572
14120100,Epic Movie,,,,,
14150100,Hitman,,52547,,,
14160100,Jackie Brown,,,,,
14190100,Resident Evil,,19622,,,
14200100,The Texas Chainsaw Massacre: The Beginning,,,,,
14230100,Rugrats Go Wild,,,,,
14240100,Body of Lies,,137522,,,
14290100,Lakeview Terrace,,,,,
14300100,Anna and the King,,,,,
14320100,Pitch Black,,,,,
14360100,The Grudge 2,,,,,
14390100,The Sisterhood of the Traveling Pants,,,,,
14420100,Fracture,,64527,0,,
14500100,Stardust,,,,,
14570100,Gridiron Gang,,,,,
14590100,Last Holiday,,111430,,,
14600100,Pride & Prejudice,,228685,,,
14650100,Meet the Spartans,,,,,
14700100,10 Things I Hate About You,,201573,,,
14730100,Treasure Planet,,,,,
14750100,Urban Legend,,,,,
14760100,Harold & Kumar Escape from Guantanamo Bay,,,,,
14790100,The Terminator,,74098,,,
14830100,Showtime,,,,,
14860100,First Sunday,,,,,
14870100,Jeepers Creepers,,,,,
14890100,The Brothers Grimm,,,,,
14940100,Head of State,,,,,
14980100,The Secret Life of Bees,,,,,
